code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
73818-7,Platelet factor 4 heparin complex induced Ab.IgG,OD,Pt,Ser/Plas,Qn,IA,HIT ELISA,HIT ELISA
30058-2,Serine/Creatinine,Ratio,Pt,Urine,Qn,,Serine,Serine
78697-0,Olea europaea Ab.IgG,MCnc,Pt,Ser,Qn,,Olive Black IgG,Olive Black IgG
11778-8,Delivery date,Date,Pt,^Patient,Qn,Clinical.estimated,Estimated Due Date,Estimated Due Date
83112-3,Prostate specific Ag,MCnc,Pt,Ser/Plas,Qn,IA,Total PSA,Total PSA
68546-1,Mycoplasma hominis DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,Mycoplasma hominis PCR,Mycoplasma hominis PCR
6733-0,Pigeon serum Ab,PrThr,Pt,Ser,Ord,Immune diffusion,Pigeon/Dove Serum Gel Diffusion,Pigeon/Dove Serum Gel Diffusion
63244-8,Ganglioside GM1 Ab.IgG+IgM,PrThr,Pt,Ser,Ord,IA,"GM1 Antibodies, IgG-IgM","GM1 Antibodies, IgG-IgM"
62310-8,Galactosylceramidase,CCnc,Pt,Bld.dot,Qn,,Galactocerebrosidase,Galactocerebrosidase
6164-8,Quercus virginiana Ab.IgE,ACnc,Pt,Ser,Qn,,Oak Live (Quercus virginiana) IgE,Oak Live (Quercus virginiana) IgE
6126-7,Glycyphagus domesticus Ab.IgE,ACnc,Pt,Ser,Qn,,"Glycyphagus Domesticus, IgE","Glycyphagus Domesticus, IgE"
60407-4,Helianthus annuus seed Ab.IgG,MCnc,Pt,Ser,Qn,,Sunflower Seed IgG,Sunflower Seed IgG
53935-3,Clostridium tetani toxoid Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,Tetanus IgG Value,Tetanus IgG Value
5257-1,Mycoplasma pneumoniae Ab.IgM,PrThr,Pt,Ser,Ord,IA,"M. pneumoniae Ab, IgM, S","M. pneumoniae Ab, IgM, S"
5370-2,Streptolysin O Ab,ACnc,Pt,Ser/Plas,Qn,,"Antistrep-O Titer, S","Antistrep-O Titer, S"
55159-8,Ursodeoxycholate,SCnc,Pt,Ser/Plas,Qn,,Total Ursodeoxycholic Acid,Total Ursodeoxycholic Acid
57290-9,HLA-A,Type,Pt,Bld/Tiss,Nom,High resolution,HLA A High Resolution,HLA A High Resolution
57766-8,Histoplasma capsulatum Ag,MCnc,Pt,Body fld,Qn,,Result,Result
58448-2,Albumin ug/min,MRat,24H,Urine,Qn,Detection limit <= 20 mg/L,Albumin Excretion Rate,Albumin Excretion Rate
74865-7,IgA.lambda,MCnc,Pt,Ser/Plas,Qn,,"IgA Lambda, S","IgA Lambda, S"
50091-8,2-methyl-3-hydroxybutyrylcarnitine (C5-OH)/Creatinine,SRto,Pt,Urine,Qn,,"C5-OH Acylcarnitine, QN, U","C5-OH Acylcarnitine, QN, U"
35738-4,Inhibin A,MoM,Pt,Ser/Plas,Qn,,MoM for DIA,MoM for DIA
3559-2,Digitoxin,MCnc,Pt,Ser/Plas,Qn,,Digitoxin,Digitoxin
34596-7,3-O-Methyldopa,SCnc,Pt,CSF,Qn,,3-O-methyldopa,3-O-methyldopa
3520-4,cycloSPORINE,MCnc,Pt,Bld,Qn,,"Cyclosporine, B","Cyclosporine, B"
32435-0,Symptoms & diseases,Hx,Pt,Hereditary,Nom,,Family History of Aneuploidy,Family History of Aneuploidy
3181-5,Cardiolipin Ab.IgG,ACnc,Pt,Ser,Qn,IA,"Phospholipid Ab IgG, S","Phospholipid Ab IgG, S"
31444-3,Intrinsic factor blocking Ab,PrThr,Pt,Ser,Ord,,"Intrinsic Factor Blocking Ab, S","Intrinsic Factor Blocking Ab, S"
29901-6,HTLV I+II Ab,PrThr,Pt,Ser,Ord,IA,"HTLV-I/-II Ab Screen, S","HTLV-I/-II Ab Screen, S"
29495-9,Herpes virus 6 DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,Herpes Virus 6 DNA,Herpes Virus 6 DNA
29257-3,Mycoplasma pneumoniae DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,M. pneumoniae PCR,M. pneumoniae PCR
2483-6,Insulin-like growth factor binding protein 3,MCnc,Pt,Ser/Plas,Qn,,"IGFBP-3, S","IGFBP-3, S"
2471-1,IgM,MCnc,Pt,CSF,Qn,,Immunoglobulin M CSF,Immunoglobulin M CSF
2458-8,IgA,MCnc,Pt,Ser/Plas,Qn,,"Immunoglobulin A (IgA), S","Immunoglobulin A (IgA), S"
2472-9,IgM,MCnc,Pt,Ser/Plas,Qn,,"Immunoglobulin M (IgM), S","Immunoglobulin M (IgM), S"
24502-7,Parakeet serum Ab,PrThr,Pt,Ser,Ord,Immune diffusion,Parakeet Serum Gel Diffusion,Parakeet Serum Gel Diffusion
24505-0,Pigeon droppings Ab,PrThr,Pt,Ser,Ord,Immune diffusion,Pigeon/Dove Droppings Gel Diffusion,Pigeon/Dove Droppings Gel Diffusion
24503-5,Parakeet droppings Ab,PrThr,Pt,Ser,Ord,Immune diffusion,Parakeet Droppings Gel Diffusion,Parakeet Droppings Gel Diffusion
45224-3,Mycoplasma pneumoniae Ab.IgG,PrThr,Pt,Ser,Ord,IA,"M. pneumoniae Ab, IgG, S","M. pneumoniae Ab, IgG, S"
